Employee_ID,Churn_risk
1005395,medium
1005396,medium
1005397,medium
1005398,medium
1005399,medium
1005400,medium
1005401,medium
1005402,medium
1005403,medium
1005404,low
1005405,medium
1005406,medium
1005407,medium
1005408,low
1005409,medium
1005410,medium
1005411,medium
1005412,medium
1005413,medium
1005414,medium
1005415,medium
1005416,medium
1005417,medium
1005418,medium
1005419,medium
1005420,medium
1005421,low
1005422,medium
1005423,medium
1005424,medium
1005425,medium
1005426,medium
1005427,medium
1005428,medium
1005429,medium
1005430,medium
1005431,medium
1005432,medium
1005433,medium
1005434,medium
1005435,medium
1005436,medium
1005437,medium
1005438,low
1005439,medium
1005440,medium
1005441,medium
1005442,low
1005443,medium
1005444,medium
1005445,medium
1005446,medium
1005447,medium
1005448,medium
1005449,medium
1005450,medium
1005451,medium
1005452,medium
1005453,medium
1005454,medium
1005455,medium
1005456,medium
1005457,medium
1005458,medium
1005459,low
1005460,medium
1005461,medium
1005462,medium
1005463,medium
1005464,medium
1005465,low
1005466,medium
1005467,low
1005468,medium
1005469,medium
1005470,medium
1005471,medium
1005472,medium
1005473,medium
1005474,medium
1005475,low
1005476,medium
1005477,medium
1005478,medium
1005479,medium
1005480,medium
1005481,medium
1005482,medium
1005483,medium
1005484,low
1005485,medium
1005486,medium
1005487,medium
1005488,medium
1005489,medium
1005490,low
1005491,medium
1005492,medium
1005493,medium
1005494,medium
1005495,medium
1005496,low
1005497,medium
1005498,medium
1005499,medium
1005500,medium
1005501,medium
1005502,medium
1005503,medium
1005504,medium
1005505,low
1005506,low
1005507,medium
1005508,medium
1005509,low
1005510,medium
1005511,medium
1005512,medium
1005513,low
1005514,low
1005515,medium
1005516,medium
1005517,medium
1005518,low
1005519,medium
1005520,medium
1005521,medium
1005522,medium
1005523,medium
1005524,low
1005525,medium
1005526,medium
1005527,medium
1005528,medium
1005529,medium
1005530,medium
1005531,medium
1005532,medium
1005533,low
1005534,low
1005535,medium
1005536,medium
1005537,medium
1005538,medium
1005539,medium
1005540,medium
1005541,medium
1005542,medium
1005543,medium
1005544,medium
1005545,low
1005546,medium
1005547,medium
1005548,medium
1005549,low
1005550,medium
1005551,medium
1005552,medium
1005553,medium
1005554,medium
1005555,medium
1005556,medium
1005557,medium
1005558,medium
1005559,medium
1005560,medium
1005561,low
1005562,low
1005563,medium
1005564,medium
1005565,medium
1005566,medium
1005567,medium
1005568,low
1005569,low
1005570,medium
1005571,medium
1005572,medium
1005573,medium
1005574,medium
1005575,low
1005576,medium
1005577,medium
1005578,medium
1005579,medium
1005580,medium
1005581,medium
1005582,medium
1005583,low
1005584,low
1005585,medium
1005586,low
1005587,medium
1005588,medium
1005589,low
1005590,medium
1005591,medium
1005592,medium
1005593,medium
1005594,medium
1005595,medium
1005596,medium
1005597,low
1005598,medium
1005599,medium
1005600,medium
1005601,medium
1005602,medium
1005603,medium
1005604,medium
1005605,medium
1005606,medium
1005607,medium
1005608,medium
1005609,low
1005610,medium
1005611,medium
1005612,medium
1005613,medium
1005614,medium
1005615,medium
1005616,low
1005617,medium
1005618,medium
1005619,medium
1005620,medium
1005621,medium
1005622,medium
1005623,medium
1005624,medium
1005625,medium
1005626,medium
1005627,medium
1005628,medium
1005629,medium
1005630,low
1005631,medium
1005632,medium
1005633,medium
1005634,medium
1005635,medium
1005636,medium
1005637,low
1005638,medium
1005639,medium
1005640,medium
1005641,medium
1005642,medium
1005643,low
1005644,medium
1005645,medium
1005646,medium
1005647,medium
1005648,medium
1005649,medium
1005650,medium
1005651,medium
1005652,medium
1005653,medium
1005654,low
1005655,medium
1005656,medium
1005657,medium
1005658,medium
1005659,medium
1005660,medium
1005661,medium
1005662,low
1005663,medium
1005664,medium
1005665,medium
1005666,medium
1005667,medium
1005668,medium
1005669,medium
1005670,low
1005671,medium
1005672,medium
1005673,medium
1005674,medium
1005675,medium
1005676,medium
1005677,low
1005678,medium
1005679,medium
1005680,low
1005681,medium
1005682,medium
1005683,medium
1005684,medium
1005685,medium
1005686,medium
1005687,medium
1005688,medium
1005689,medium
1005690,medium
1005691,medium
1005692,medium
1005693,medium
1005694,medium
1005695,medium
1005696,medium
1005697,medium
1005698,medium
1005699,medium
1005700,medium
1005701,medium
1005702,medium
1005703,medium
1005704,medium
1005705,low
1005706,low
1005707,low
1005708,medium
1005709,low
1005710,medium
1005711,medium
1005712,medium
1005713,medium
1005714,low
1005715,medium
1005716,low
1005717,medium
1005718,medium
1005719,medium
1005720,medium
1005721,medium
1005722,medium
1005723,medium
1005724,medium
1005725,medium
1005726,low
1005727,medium
1005728,medium
1005729,medium
1005730,medium
1005731,medium
1005732,medium
1005733,low
1005734,medium
1005735,medium
1005736,low
1005737,medium
1005738,medium
1005739,medium
1005740,medium
1005741,medium
1005742,medium
1005743,medium
1005744,medium
1005745,medium
1005746,medium
1005747,medium
1005748,low
1005749,medium
1005750,low
1005751,low
1005752,medium
1005753,medium
1005754,medium
1005755,medium
1005756,medium
1005757,medium
1005758,medium
1005759,low
1005760,medium
1005761,medium
1005762,medium
1005763,medium
1005764,medium
1005765,medium
1005766,medium
1005767,medium
1005768,low
1005769,low
1005770,medium
1005771,low
1005772,medium
1005773,medium
1005774,medium
1005775,medium
1005776,medium
1005777,low
1005778,medium
1005779,medium
1005780,medium
1005781,medium
1005782,medium
1005783,medium
1005784,medium
1005785,medium
1005786,medium
1005787,medium
1005788,medium
1005789,medium
1005790,medium
1005791,medium
1005792,low
1005793,medium
1005794,medium
1005795,medium
1005796,medium
1005797,medium
1005798,medium
1005799,low
1005800,medium
1005801,medium
1005802,medium
1005803,medium
1005804,medium
1005805,medium
1005806,low
1005807,medium
1005808,medium
1005809,medium
1005810,medium
1005811,medium
1005812,medium
1005813,medium
1005814,medium
1005815,medium
1005816,medium
1005817,medium
1005818,medium
1005819,medium
1005820,medium
1005821,medium
1005822,medium
1005823,medium
1005824,medium
1005825,medium
1005826,medium
1005827,medium
1005828,medium
1005829,medium
1005830,medium
1005831,medium
1005832,medium
1005833,medium
1005834,medium
1005835,low
1005836,medium
1005837,medium
1005838,medium
1005839,medium
1005840,medium
1005841,medium
1005842,medium
1005843,medium
1005844,medium
1005845,medium
1005846,medium
1005847,low
1005848,medium
1005849,medium
1005850,low
1005851,medium
1005852,low
1005853,medium
1005854,medium
1005855,medium
1005856,low
1005857,medium
1005858,medium
1005859,medium
1005860,medium
1005861,medium
1005862,medium
1005863,medium
1005864,low
1005865,medium
1005866,medium
1005867,medium
1005868,medium
1005869,medium
1005870,medium
1005871,medium
1005872,medium
1005873,medium
1005874,medium
1005875,medium
1005876,medium
1005877,medium
1005878,medium
1005879,medium
1005880,medium
1005881,medium
1005882,medium
1005883,medium
1005884,medium
1005885,medium
1005886,medium
1005887,medium
1005888,medium
1005889,medium
1005890,medium
1005891,medium
1005892,medium
1005893,low
1005894,low
1005895,medium
1005896,medium
1005897,medium
1005898,medium
1005899,medium
1005900,medium
1005901,medium
1005902,medium
1005903,medium
1005904,medium
1005905,medium
1005906,medium
1005907,medium
1005908,medium
1005909,medium
1005910,medium
1005911,medium
1005912,medium
1005913,medium
1005914,medium
1005915,medium
1005916,medium
1005917,medium
1005918,low
1005919,medium
1005920,medium
1005921,medium
1005922,medium
1005923,medium
1005924,medium
1005925,medium
1005926,medium
1005927,medium
1005928,low
1005929,medium
1005930,medium
1005931,medium
1005932,low
1005933,medium
1005934,medium
1005935,medium
1005936,medium
1005937,medium
1005938,medium
1005939,medium
1005940,medium
1005941,medium
1005942,medium
1005943,medium
1005944,low
1005945,medium
1005946,medium
1005947,medium
1005948,medium
1005949,medium
1005950,medium
1005951,medium
1005952,medium
1005953,medium
1005954,medium
1005955,medium
1005956,low
1005957,medium
1005958,low
1005959,medium
1005960,medium
1005961,medium
1005962,medium
1005963,medium
1005964,medium
1005965,medium
1005966,medium
1005967,medium
1005968,medium
1005969,medium
1005970,medium
1005971,medium
1005972,medium
1005973,low
1005974,medium
1005975,medium
1005976,low
1005977,medium
1005978,medium
1005979,medium
1005980,medium
1005981,medium
1005982,medium
1005983,medium
1005984,medium
1005985,medium
1005986,medium
1005987,medium
1005988,medium
1005989,medium
1005990,medium
1005991,low
1005992,medium
1005993,medium
1005994,medium
1005995,medium
1005996,medium
1005997,medium
1005998,medium
1005999,medium
1006000,medium
1006001,low
1006002,medium
1006003,medium
1006004,medium
1006005,low
1006006,medium
1006007,medium
1006008,medium
1006009,medium
1006010,medium
1006011,medium
1006012,medium
1006013,medium
1006014,medium
1006015,medium
1006016,medium
1006017,medium
1006018,medium
1006019,low
1006020,medium
1006021,medium
1006022,low
1006023,medium
1006024,medium
1006025,medium
1006026,medium
1006027,medium
1006028,medium
1006029,medium
1006030,medium
1006031,medium
1006032,low
1006033,medium
1006034,medium
1006035,medium
1006036,medium
1006037,medium
1006038,medium
1006039,medium
1006040,low
1006041,medium
1006042,medium
1006043,medium
1006044,medium
1006045,medium
1006046,medium
1006047,medium
1006048,medium
1006049,medium
1006050,medium
1006051,medium
1006052,low
1006053,medium
1006054,low
1006055,medium
1006056,medium
1006057,medium
1006058,medium
1006059,medium
1006060,medium
1006061,medium
1006062,medium
1006063,medium
1006064,medium
1006065,medium
1006066,medium
1006067,medium
1006068,medium
1006069,medium
1006070,medium
1006071,medium
1006072,medium
1006073,medium
1006074,medium
1006075,medium
1006076,medium
1006077,medium
1006078,medium
1006079,medium
1006080,medium
1006081,medium
1006082,medium
1006083,medium
1006084,medium
1006085,medium
1006086,medium
1006087,medium
1006088,medium
1006089,medium
1006090,low
1006091,medium
1006092,medium
1006093,medium
1006094,medium
1006095,medium
1006096,low
1006097,medium
1006098,medium
1006099,medium
1006100,medium
1006101,medium
1006102,medium
1006103,medium
1006104,medium
1006105,medium
1006106,medium
1006107,medium
1006108,low
1006109,low
1006110,medium
1006111,low
1006112,medium
1006113,medium
1006114,medium
1006115,medium
1006116,medium
1006117,low
1006118,medium
1006119,medium
1006120,medium
1006121,medium
1006122,medium
1006123,low
1006124,medium
1006125,low
1006126,low
1006127,medium
1006128,low
1006129,medium
1006130,medium
1006131,low
1006132,medium
1006133,medium
1006134,medium
1006135,medium
1006136,medium
1006137,medium
1006138,low
1006139,medium
1006140,low
1006141,medium
1006142,low
1006143,medium
1006144,medium
1006145,medium
1006146,medium
1006147,medium
1006148,medium
1006149,medium
1006150,medium
1006151,medium
1006152,medium
1006153,medium
1006154,medium
1006155,medium
1006156,medium
1006157,medium
1006158,medium
1006159,medium
1006160,medium
1006161,medium
1006162,medium
1006163,medium
1006164,medium
1006165,medium
1006166,medium
1006167,medium
1006168,low
1006169,medium
1006170,medium
1006171,medium
1006172,medium
1006173,medium
1006174,medium
1006175,medium
1006176,medium
1006177,low
1006178,medium
1006179,medium
1006180,medium
1006181,medium
1006182,medium
1006183,medium
1006184,medium
1006185,medium
1006186,medium
1006187,medium
1006188,low
1006189,medium
1006190,medium
1006191,medium
1006192,medium
1006193,medium
1006194,medium
1006195,medium
1006196,medium
1006197,low
1006198,medium
1006199,medium
1006200,medium
1006201,medium
1006202,medium
1006203,medium
1006204,medium
1006205,medium
1006206,medium
1006207,medium
1006208,medium
1006209,medium
1006210,medium
1006211,medium
1006212,medium
1006213,medium
1006214,medium
1006215,medium
1006216,medium
1006217,medium
1006218,medium
1006219,medium
1006220,medium
1006221,medium
1006222,medium
1006223,medium
1006224,medium
1006225,medium
1006226,low
1006227,medium
1006228,medium
1006229,medium
1006230,medium
1006231,low
1006232,medium
1006233,medium
1006234,medium
1006235,medium
1006236,medium
1006237,medium
1006238,medium
1006239,medium
1006240,medium
1006241,medium
1006242,medium
1006243,medium
1006244,medium
1006245,medium
1006246,medium
1006247,low
1006248,medium
1006249,medium
1006250,low
1006251,low
1006252,medium
1006253,medium
1006254,medium
1006255,medium
1006256,medium
1006257,medium
1006258,medium
1006259,medium
1006260,medium
1006261,medium
1006262,medium
1006263,medium
1006264,medium
1006265,medium
1006266,medium
1006267,medium
1006268,medium
1006269,medium
1006270,medium
1006271,medium
1006272,medium
1006273,low
1006274,low
1006275,medium
1006276,medium
1006277,medium
1006278,medium
1006279,medium
1006280,medium
1006281,medium
1006282,medium
1006283,medium
1006284,low
1006285,medium
1006286,medium
1006287,medium
1006288,medium
1006289,medium
1006290,medium
1006291,medium
1006292,medium
1006293,medium
1006294,medium
1006295,medium
1006296,medium
1006297,medium
1006298,medium
1006299,medium
1006300,medium
1006301,medium
1006302,low
1006303,medium
1006304,medium
1006305,low
1006306,medium
1006307,medium
1006308,medium
1006309,medium
1006310,medium
1006311,medium
1006312,low
1006313,medium
1006314,medium
1006315,medium
1006316,medium
1006317,medium
1006318,medium
1006319,low
1006320,medium
1006321,medium
1006322,low
1006323,medium
1006324,medium
1006325,medium
1006326,low
1006327,medium
1006328,medium
1006329,medium
1006330,medium
1006331,low
1006332,medium
1006333,medium
1006334,medium
1006335,medium
1006336,medium
1006337,low
1006338,medium
1006339,medium
1006340,medium
1006341,medium
1006342,medium
1006343,medium
1006344,medium
1006345,medium
1006346,medium
1006347,medium
1006348,medium
1006349,medium
1006350,medium
1006351,medium
1006352,medium
1006353,low
1006354,medium
1006355,medium
1006356,medium
1006357,medium
1006358,medium
1006359,medium
1006360,medium
1006361,medium
1006362,medium
1006363,low
1006364,medium
1006365,medium
1006366,medium
1006367,medium
1006368,medium
1006369,medium
1006370,medium
1006371,medium
1006372,low
1006373,low
1006374,medium
1006375,low
1006376,medium
1006377,low
1006378,medium
1006379,medium
1006380,medium
1006381,low
1006382,medium
1006383,medium
1006384,low
1006385,medium
1006386,medium
1006387,medium
1006388,medium
1006389,medium
1006390,medium
1006391,medium
1006392,medium
1006393,medium
1006394,low
1006395,low
1006396,low
1006397,medium
1006398,medium
1006399,medium
1006400,medium
1006401,medium
1006402,low
1006403,medium
1006404,medium
1006405,medium
1006406,medium
1006407,medium
1006408,medium
1006409,medium
1006410,medium
1006411,medium
1006412,medium
1006413,medium
1006414,low
1006415,low
1006416,medium
1006417,medium
1006418,medium
1006419,medium
1006420,medium
1006421,medium
1006422,low
1006423,medium
1006424,low
1006425,medium
1006426,medium
1006427,medium
1006428,medium
1006429,medium
1006430,medium
1006431,medium
1006432,medium
1006433,medium
1006434,medium
1006435,low
1006436,medium
1006437,medium
1006438,medium
1006439,low
1006440,medium
1006441,low
1006442,medium
1006443,low
1006444,medium
1006445,medium
1006446,medium
1006447,medium
1006448,medium
1006449,medium
1006450,low
1006451,medium
1006452,medium
1006453,medium
1006454,medium
1006455,medium
1006456,medium
1006457,medium
1006458,low
1006459,low
1006460,medium
1006461,medium
1006462,medium
1006463,medium
1006464,medium
1006465,medium
1006466,medium
1006467,medium
1006468,medium
1006469,medium
1006470,medium
1006471,medium
1006472,medium
1006473,medium
1006474,medium
1006475,low
1006476,medium
1006477,medium
1006478,medium
1006479,medium
1006480,medium
1006481,medium
1006482,medium
1006483,low
1006484,medium
1006485,medium
1006486,medium
1006487,medium
1006488,medium
1006489,medium
1006490,medium
1006491,medium
1006492,medium
1006493,medium
1006494,medium
1006495,medium
1006496,medium
1006497,medium
1006498,medium
1006499,medium
1006500,medium
